epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60055,1.07166,2.75006,0.95002,0.9587,0.27728,0.34473,0.21761,1.07078,2.9588,0.94511,0.00029,0.00029,0.00029
2,10.9333,0.99193,1.20316,0.95184,0.95639,0.26056,0.35055,0.26585,0.84082,2.65919,0.92305,0.000584159,0.000584159,0.000584159
3,16.2132,0.9154,1.04821,0.94991,0.95507,0.30207,0.35341,0.26992,0.78274,2.58552,0.93089,0.000872378,0.000872378,0.000872378
4,21.4181,0.92803,0.96052,0.94825,0.95594,0.31765,0.34005,0.26575,0.77904,1.71478,0.93199,0.0009703,0.0009703,0.0009703
5,26.5298,0.87021,0.97362,0.94114,0.9568,0.31609,0.32069,0.23846,0.8683,1.83137,0.96263,0.0009604,0.0009604,0.0009604
6,31.6677,0.88452,0.86073,0.94704,0.95689,0.31683,0.30153,0.24012,0.72855,1.82187,0.92321,0.0009505,0.0009505,0.0009505
7,36.7966,0.86636,0.8375,0.9422,0.95667,0.31765,0.29809,0.22896,0.82709,1.691,0.95529,0.0009406,0.0009406,0.0009406
8,41.9938,0.83425,0.79994,0.93719,0.95647,0.31329,0.29869,0.23309,0.7134,1.72963,0.94021,0.0009307,0.0009307,0.0009307
9,47.2492,0.7978,0.76556,0.92412,0.95581,0.3098,0.34071,0.24485,0.74621,1.6449,0.9406,0.0009208,0.0009208,0.0009208
10,52.3372,0.78004,0.7187,0.91267,0.95642,0.31765,0.3298,0.24832,0.72907,1.65054,0.93427,0.0009109,0.0009109,0.0009109
11,57.3561,0.73753,0.70728,0.91524,0.95685,0.31765,0.29693,0.24935,0.64986,1.62726,0.91802,0.000901,0.000901,0.000901
12,62.6873,0.73359,0.66855,0.90863,0.95688,0.31765,0.30326,0.25282,0.67616,1.5564,0.91815,0.0008911,0.0008911,0.0008911
13,67.8033,0.70538,0.64532,0.89478,0.95726,0.32157,0.29238,0.24731,0.70038,1.51386,0.93328,0.0008812,0.0008812,0.0008812
14,73.0517,0.68274,0.62865,0.89836,0.95725,0.32157,0.28269,0.23673,0.67032,1.43556,0.9307,0.0008713,0.0008713,0.0008713
15,78.2573,0.7147,0.60711,0.90025,0.9574,0.32157,0.30427,0.2502,0.74412,1.51366,0.9404,0.0008614,0.0008614,0.0008614
16,83.3855,0.68523,0.58822,0.88504,0.95674,0.31765,0.2907,0.23657,0.70261,1.64949,0.93297,0.0008515,0.0008515,0.0008515
17,88.5668,0.71501,0.59495,0.90892,0.95729,0.32157,0.29058,0.24768,0.67348,1.65732,0.92339,0.0008416,0.0008416,0.0008416
18,93.8085,0.66503,0.57773,0.90684,0.95716,0.32157,0.28616,0.24259,0.66517,1.57726,0.92274,0.0008317,0.0008317,0.0008317
19,98.8495,0.68861,0.57622,0.89873,0.62383,0.32157,0.29274,0.24659,0.63883,1.44168,0.91304,0.0008218,0.0008218,0.0008218
20,103.915,0.68248,0.55029,0.88775,0.95414,0.32157,0.2892,0.24226,0.66972,1.51153,0.9281,0.0008119,0.0008119,0.0008119
21,109.146,0.68757,0.54637,0.89012,0.95435,0.32131,0.29104,0.24451,0.72542,1.5057,0.94319,0.000802,0.000802,0.000802
22,114.302,0.69728,0.54311,0.8869,0.6234,0.31765,0.29,0.24806,0.66991,1.43376,0.92885,0.0007921,0.0007921,0.0007921
23,119.597,0.65734,0.51511,0.88004,0.62342,0.31765,0.2868,0.24284,0.65136,1.33983,0.9295,0.0007822,0.0007822,0.0007822
24,124.68,0.66911,0.51146,0.88371,0.62391,0.32157,0.28519,0.23776,0.67235,1.50017,0.93377,0.0007723,0.0007723,0.0007723
25,129.726,0.6874,0.5141,0.89398,0.2906,0.32157,0.28209,0.24128,0.63639,1.4213,0.91832,0.0007624,0.0007624,0.0007624
26,134.937,0.68128,0.49462,0.88924,0.29076,0.32137,0.29928,0.25498,0.66116,1.43174,0.92876,0.0007525,0.0007525,0.0007525
27,140.161,0.68016,0.50877,0.8942,0.29031,0.32157,0.28891,0.24328,0.65487,1.49012,0.92433,0.0007426,0.0007426,0.0007426
28,145.432,0.6716,0.49365,0.88579,0.29029,0.32157,0.28167,0.23164,0.66139,1.38495,0.93734,0.0007327,0.0007327,0.0007327
29,150.604,0.65856,0.47788,0.88482,0.29078,0.32153,0.29313,0.24638,0.65618,1.4723,0.92923,0.0007228,0.0007228,0.0007228
30,155.978,0.6427,0.47586,0.88625,0.29078,0.32157,0.2837,0.24344,0.63883,1.4151,0.91895,0.0007129,0.0007129,0.0007129
